Time [s],Channel 0,Channel 1
-3.953325640,0,1
-3.952235920,0,0
-3.950237000,0,1
-3.948238960,0,0
-3.946240000,0,1
-3.944241920,0,0
-3.942242960,0,1
-3.940244880,0,0
-3.938245920,0,1
-3.936247840,0,0
-3.934248880,0,1
-3.932250800,0,0
-3.930251800,0,1
-3.928253680,0,0
-3.926254760,0,1
-3.924256640,0,0
-3.922257720,0,1
-3.920259680,0,0
-3.918260720,0,1
-3.916262640,0,0
-3.914263680,0,1
-3.912265600,0,0
-3.910266640,0,1
-3.908268560,0,0
-3.906269600,0,1
-3.904271520,0,0
-3.902272560,0,1
-3.900274480,0,0
-3.898275520,0,1
-3.896277360,0,0
-3.894278440,0,1
-3.892280320,0,0
-3.890281400,0,1
-3.888283360,0,0
-3.886284400,0,1
-3.884286320,0,0
-3.882287360,0,1
-3.880289280,0,0
-3.878290320,0,1
-3.876292240,0,0
-3.874293280,0,1
-3.872291840,0,0
-3.870296240,0,1
-3.868298160,0,0
-3.866299200,0,1
-3.864301040,0,0
-3.862302120,0,1
-3.860304000,0,0
-3.858305080,0,1
-3.856306960,0,0
-3.854308040,0,1
-3.852309920,0,0
-3.850311000,0,1
-3.848312960,0,0
-3.846314000,0,1
-3.844315920,0,0
-3.842316960,0,1
-3.840318880,0,0
-3.838319920,0,1
-3.836321760,0,0
-3.834322840,0,1
-3.832324720,0,0
-3.830325800,0,1
-3.828327680,0,0
-3.826328760,0,1
-3.824330640,0,0
-3.822331720,0,1
-3.820333600,0,0
-3.818334680,0,1
-3.816336640,0,0
-3.814337680,0,1
-3.812339600,0,0
-3.810340640,0,1
-3.808342560,0,0
-3.806343600,0,1
-3.804345520,0,0
-3.802346520,0,1
-3.800348400,0,0
-3.798349480,0,1
-3.796351360,0,0
-3.794352440,0,1
-3.792354320,0,0
-3.790355400,0,1
-3.788357360,0,0
-3.786358360,0,1
-3.784360320,0,0
-3.782361360,0,1
-3.780363280,0,0
-3.778364320,0,1
-3.776366240,0,0
-3.774367280,0,1
-3.772369200,0,0
-3.770370240,0,1
-3.768372160,0,0
-3.766373200,0,1
-3.764375040,0,0
-3.762376120,0,1
-3.760378000,0,0
-3.758379080,0,1
-3.756381040,0,0
-3.754382080,0,1
-3.752384000,0,0
-3.750385040,0,1
-3.748386960,0,0
-3.746388000,0,1
-3.744386560,0,0
-3.742390960,0,1
-3.740392880,0,0
-3.738393920,0,1
-3.736395840,0,0
-3.734396880,0,1
-3.732398720,0,0
-3.730399800,0,1
-3.728401680,0,0
-3.726402760,0,1
-3.724404640,0,0
-3.722405720,0,1
-3.720407600,0,0
-3.718408680,0,1
-3.716410640,0,0
-3.714411680,0,1
-3.712413600,0,0
-3.710414640,0,1
-3.708416560,0,0
-3.706417600,0,1
-3.704419440,0,0
-3.702420520,0,1
-3.700422400,0,0
-3.698423480,0,1
-3.696425360,0,0
-3.694426440,0,1
-3.692428320,0,0
-3.690429400,0,1
-3.688431280,0,0
-3.686432360,0,1
-3.684434320,0,0
-3.682435360,0,1
-3.680437280,0,0
-3.678438320,0,1
-3.676440240,0,0
-3.674441280,0,1
-3.672443120,0,0
-3.670444200,0,1
-3.668446080,0,0
-3.666447160,0,1
-3.664449040,0,0
-3.662450120,0,1
-3.660452000,0,0
-3.658453080,0,1
-3.656454960,0,0
-3.654456040,0,1
-3.652458000,0,0
-3.650459040,0,1
-3.648460960,0,0
-3.646462000,0,1
-3.644463920,0,0
-3.642464960,0,1
-3.640466880,0,0
-3.638467920,0,1
-3.636469840,0,0
-3.634470880,0,1
-3.632472720,0,0
-3.630473800,0,1
-3.628475680,0,0
-3.626476760,0,1
-3.624478720,0,0
-3.622479760,0,1
-3.620481680,0,0
-3.618482720,0,1
-3.616481280,0,0
-3.614485680,0,1
-3.612487600,0,0
-3.610488640,0,1
-3.608490560,0,0
-3.606491600,0,1
-3.604493520,0,0
-3.602494560,0,1
-3.600496400,0,0
-3.598497480,0,1
-3.596499360,0,0
-3.594500440,0,1
-3.592502320,0,0
-3.590503400,0,1
-3.588505360,0,0
-3.586506400,0,1
-3.584508320,0,0
-3.582509360,0,1
-3.580511280,0,0
-3.578512320,0,1
-3.576514240,0,0
-3.574515280,0,1
-3.572517200,0,0
-3.570518240,0,1
-3.568520080,0,0
-3.566521160,0,1
-3.564523040,0,0
-3.562524120,0,1
-3.560526000,0,0
-3.558527080,0,1
-3.556528960,0,0
-3.554530040,0,1
-3.552532000,0,0
-3.550533040,0,1
-3.548534960,0,0
-3.546536000,0,1
-3.544537920,0,0
-3.542538960,0,1
-3.540540800,0,0
-3.538541880,0,1
-3.536543760,0,0
-3.534544840,0,1
-3.532546720,0,0
-3.530547800,0,1
-3.528549680,0,0
-3.526550760,0,1
-3.524552640,0,0
-3.522553720,0,1
-3.520555680,0,0
-3.518556720,0,1
-3.516558640,0,0
-3.514559680,0,1
-3.512561600,0,0
-3.510562640,0,1
-3.508564560,0,0
-3.506565600,0,1
-3.504567440,0,0
-3.502568520,0,1
-3.500570400,0,0
-3.498571480,0,1
-3.496573360,0,0
-3.494574440,0,1
-3.492576400,0,0
-3.490577440,0,1
-3.488576120,0,0
-3.486580400,0,1
-3.484582320,0,0
-3.482583360,0,1
-3.480585280,0,0
-3.478586320,0,1
-3.476588240,0,0
-3.474589280,0,1
-3.472591200,0,0
-3.470592240,0,1
-3.468594080,0,0
-3.466595160,0,1
-3.464597040,0,0
-3.462598120,0,1
-3.460600080,0,0
-3.458601120,0,1
-3.456603040,0,0
-3.454604080,0,1
-3.452606000,0,0
-3.450607040,0,1
-3.448608960,0,0
-3.446610000,0,1
-3.444611920,0,0
-3.442612960,0,1
-3.440614880,0,0
-3.438615920,0,1
-3.436617760,0,0
-3.434618840,0,1
-3.432620720,0,0
-3.430621800,0,1
-3.428623680,0,0
-3.426624760,0,1
-3.424626640,0,0
-3.422627720,0,1
-3.420629680,0,0
-3.418630720,0,1
-3.416632640,0,0
-3.414633680,0,1
-3.412635600,0,0
-3.410636640,0,1
-3.408638480,0,0
-3.406639560,0,1
-3.404641440,0,0
-3.402642520,0,1
-3.400644400,0,0
-3.398645480,0,1
-3.396647360,0,0
-3.394648440,0,1
-3.392650320,0,0
-3.390651400,0,1
-3.388653360,0,0
-3.386654400,0,1
-3.384656320,0,0
-3.382657360,0,1
-3.380659280,0,0
-3.378660320,0,1
-3.376662160,0,0
-3.374663240,0,1
-3.372665120,0,0
-3.370666200,0,1
-3.368668080,0,0
-3.366669160,0,1
-3.364671040,0,0
-3.362672120,0,1
-3.360670760,0,0
-3.358675080,0,1
-3.356677040,0,0
-3.354678080,0,1
-3.352680000,0,0
-3.350681040,0,1
-3.348682960,0,0
-3.346684000,0,1
-3.344685920,0,0
-3.342686960,0,1
-3.340688880,0,0
-3.338689920,0,1
-3.336691760,0,0
-3.334692840,0,1
-3.332694720,0,0
-3.330695800,0,1
-3.328697760,0,0
-3.326698800,0,1
-3.324700720,0,0
-3.322701760,0,1
-3.320703680,0,0
-3.318704720,0,1
-3.316706640,0,0
-3.314707680,0,1
-3.312709600,0,0
-3.310710640,0,1
-3.308712560,0,0
-3.306713600,0,1
-3.304715440,0,0
-3.302716520,0,1
-3.300718400,0,0
-3.298719480,0,1
-3.296721360,0,0
-3.294722440,0,1
-3.292724320,0,0
-3.290725440,0,1
-3.288727360,0,0
-3.286728400,0,1
-3.284730320,0,0
-3.282731360,0,1
-3.280733280,0,0
-3.278734320,0,1
-3.276736160,0,0
-3.274737280,0,1
-3.272739120,0,0
-3.270740200,0,1
-3.268742080,0,0
-3.266743160,0,1
-3.264745040,0,0
-3.262746120,0,1
-3.260748000,0,0
-3.258749080,0,1
-3.256751040,0,0
-3.254752080,0,1
-3.252754000,0,0
-3.250755040,0,1
-3.248756960,0,0
-3.246758000,0,1
-3.244759840,0,0
-3.242760920,0,1
-3.240762800,0,0
-3.238763880,0,1
-3.236765760,0,0
-3.234766840,0,1
-3.232765480,0,0
-3.230769800,0,1
-3.228771680,0,0
-3.226772760,0,1
-3.224774720,0,0
-3.222775760,0,1
-3.220777680,0,0
-3.218778720,0,1
-3.216780640,0,0
-3.214781680,0,1
-3.212783600,0,0
-3.210784640,0,1
-3.208786560,0,0
-3.206787600,0,1
-3.204789440,0,0
-3.202790520,0,1
-3.200792400,0,0
-3.198793480,0,1
-3.196795440,0,0
-3.194796480,0,1
-3.192798400,0,0
-3.190799440,0,1
-3.188801360,0,0
-3.186802400,0,1
-3.184804320,0,0
-3.182805360,0,1
-3.180807280,0,0
-3.178808320,0,1
-3.176810240,0,0
-3.174811280,0,1
-3.172813120,0,0
-3.170814200,0,1
-3.168816080,0,0
-3.166817160,0,1
-3.164819040,0,0
-3.162820160,0,1
-3.160822080,0,0
-3.158823120,0,1
-3.156825040,0,0
-3.154826080,0,1
-3.152828000,0,0
-3.150829040,0,1
-3.148830960,0,0
-3.146832000,0,1
-3.144833920,0,0
-3.142834960,0,1
-3.140836800,0,0
-3.138837880,0,1
-3.136839760,0,0
-3.134840840,0,1
-3.132842720,0,0
-3.130843800,0,1
-3.128845680,0,0
-3.126846760,0,1
-3.124848720,0,0
-3.122849760,0,1
-3.120851680,0,0
-3.118852720,0,1
-3.116854640,0,0
-3.114855680,0,1
-3.112857520,0,0
-3.110858600,0,1
-3.108860480,0,0
-3.106861560,0,1
-3.104860200,0,0
-3.102864520,0,1
-3.100866400,0,0
-3.098867480,0,1
-3.096869360,0,0
-3.094870440,0,1
-3.092872400,0,0
-3.090873440,0,1
-3.088875360,0,0
-3.086876400,0,1
-3.084878320,0,0
-3.082879360,0,1
-3.080881280,0,0
-3.078882320,0,1
-3.076884160,0,0
-3.074885200,0,1
-3.072887120,0,0
-3.070888160,0,1
-3.068890080,0,0
-3.066891120,0,1
-3.064893120,0,0
-3.062894160,0,1
-3.060896080,0,0
-3.058897120,0,1
-3.056899040,0,0
-3.054900080,0,1
-3.052902000,0,0
-3.050903040,0,1
-3.048904960,0,0
-3.046906000,0,1
-3.044907920,0,0
-3.042908960,0,1
-3.040910800,0,0
-3.038911840,0,1
-3.036913760,0,0
-3.034914800,0,1
-3.032916800,0,0
-3.030917840,0,1
-3.028919760,0,0
-3.026920800,0,1
-3.024922720,0,0
-3.022923760,0,1
-3.020925680,0,0
-3.018926720,0,1
-3.016928640,0,0
-3.014929680,0,1
-3.012931600,0,0
-3.010932640,0,1
-3.008934480,0,0
-3.006935520,0,1
-3.004937440,0,0
-3.002938480,0,1
-3.000940400,0,0
-2.998941440,0,1
-2.996943360,0,0
-2.994944400,0,1
-2.992946400,0,0
-2.990947440,0,1
-2.988949360,0,0
-2.986950400,0,1
-2.984952320,0,0
-2.982953360,0,1
-2.980955200,0,0
-2.978956240,0,1
-2.976954920,0,0
-2.974959200,0,1
-2.972961120,0,0
-2.970962160,0,1
-2.968964080,0,0
-2.966965120,0,1
-2.964967040,0,0
-2.962968080,0,1
-2.960970080,0,0
-2.958971120,0,1
-2.956973040,0,0
-2.954974080,0,1
-2.952976000,0,0
-2.950977040,0,1
-2.948978880,0,0
-2.946979920,0,1
-2.944981840,0,0
-2.942982880,0,1
-2.940984800,0,0
-2.938985840,0,1
-2.936987760,0,0
-2.934988800,0,1
-2.932990720,0,0
-2.930991760,0,1
-2.928993760,0,0
-2.926994800,0,1
-2.924996720,0,0
-2.922997760,0,1
-2.920999680,0,0
-2.919000720,0,1
-2.917002640,0,0
-2.915003680,0,1
-2.913005600,0,0
-2.911006640,0,1
-2.909008480,0,0
-2.907009520,0,1
-2.905011440,0,0
-2.903012520,0,1
-2.901014480,0,0
-2.899015520,0,1
-2.897017440,0,0
-2.895018480,0,1
-2.893020400,0,0
-2.891021440,0,1
-2.889023360,0,0
-2.887024400,0,1
-2.885026320,0,0
-2.883027360,0,1
-2.881029280,0,0
-2.879030320,0,1
-2.877032160,0,0
-2.875033200,0,1
-2.873035120,0,0
-2.871036160,0,1
-2.869038080,0,0
-2.867039160,0,1
-2.865041120,0,0
-2.863042160,0,1
-2.861044080,0,0
-2.859045120,0,1
-2.857047040,0,0
-2.855048080,0,1
-2.853050000,0,0
-2.851051040,0,1
-2.849049640,0,0
-2.847054000,0,1
-2.845055840,0,0
-2.843056880,0,1
-2.841058800,0,0
-2.839059840,0,1
-2.837061760,0,0
-2.835062800,0,1
-2.833064720,0,0
-2.831065760,0,1
-2.829067760,0,0
-2.827068800,0,1
-2.825070720,0,0
-2.823071760,0,1
-2.821073680,0,0
-2.819074720,0,1
-2.817076560,0,0
-2.815077600,0,1
-2.813079520,0,0
-2.811080560,0,1
-2.809082480,0,0
-2.807083520,0,1
-2.805085440,0,0
-2.803086480,0,1
-2.801088400,0,0
-2.799089440,0,1
-2.797091440,0,0
-2.795092480,0,1
-2.793094400,0,0
-2.791095440,0,1
-2.789097360,0,0
-2.787098400,0,1
-2.785100320,0,0
-2.783101360,0,1
-2.781103280,0,0
-2.779104240,0,1
-2.777106160,0,0
-2.775107200,0,1
-2.773109120,0,0
-2.771110160,0,1
-2.769112160,0,0
-2.767113200,0,1
-2.765115120,0,0
-2.763116160,0,1
-2.761118080,0,0
-2.759119120,0,1
-2.757121040,0,0
-2.755122080,0,1
-2.753124000,0,0
-2.751125040,0,1
-2.749126960,0,0
-2.747128000,0,1
-2.745129840,0,0
-2.743130880,0,1
-2.741132800,0,0
-2.739133840,0,1
-2.737135840,0,0
-2.735136880,0,1
-2.733138800,0,0
-2.731139840,0,1
-2.729141760,0,0
-2.727142800,0,1
-2.725144720,0,0
-2.723145760,0,1
-2.721144280,0,0
-2.719148720,0,1
-2.717150640,0,0
-2.715151680,0,1
-2.713153520,0,0
-2.711154560,0,1
-2.709156480,0,0
-2.707157520,0,1
-2.705159440,0,0
-2.703160480,0,1
-2.701162400,0,0
-2.699163440,0,1
-2.697165440,0,0
-2.695166480,0,1
-2.693168400,0,0
-2.691169440,0,1
-2.689171360,0,0
-2.687172400,0,1
-2.685174240,0,0
-2.683175280,0,1
-2.681177200,0,0
-2.679178280,0,1
-2.677180160,0,0
-2.675181200,0,1
-2.673183120,0,0
-2.671184160,0,1
-2.669186080,0,0
-2.667187160,0,1
-2.665189120,0,0
-2.663190160,0,1
-2.661192080,0,0
-2.659193120,0,1
-2.657195040,0,0
-2.655196080,0,1
-2.653198000,0,0
-2.651199000,0,1
-2.649200880,0,0
-2.647201960,0,1
-2.645203840,0,0
-2.643204920,0,1
-2.641206800,0,0
-2.639207880,0,1
-2.637209840,0,0
-2.635210840,0,1
-2.633212800,0,0
-2.631213840,0,1
-2.629215760,0,0
-2.627216800,0,1
-2.625218720,0,0
-2.623219760,0,1
-2.621221680,0,0
-2.619222720,0,1
-2.617224640,0,0
-2.615225680,0,1
-2.613227520,0,0
-2.611228600,0,1
-2.609230480,0,0
-2.607231560,0,1
-2.605233520,0,0
-2.603234560,0,1
-2.601236480,0,0
-2.599237520,0,1
-2.597239440,0,0
-2.595240480,0,1
-2.593239040,0,0
-2.591243440,0,1
-2.589245360,0,0
-2.587246400,0,1
-2.585248320,0,0
-2.583249360,0,1
-2.581251200,0,0
-2.579252280,0,1
-2.577254160,0,0
-2.575255240,0,1
-2.573257120,0,0
-2.571258200,0,1
-2.569260080,0,0
-2.567261160,0,1
-2.565263120,0,0
-2.563264160,0,1
-2.561266080,0,0
-2.559267120,0,1
-2.557269040,0,0
-2.555270080,0,1
-2.553271920,0,0
-2.551273000,0,1
-2.549274880,0,0
-2.547275960,0,1
-2.545277840,0,0
-2.543278920,0,1
-2.541280800,0,0
-2.539281880,0,1
-2.537283760,0,0
-2.535284840,0,1
-2.533286800,0,0
-2.531287840,0,1
-2.529289760,0,0
-2.527290800,0,1
-2.525292720,0,0
-2.523293760,0,1
-2.521295600,0,0
-2.519296680,0,1
-2.517298560,0,0
-2.515299640,0,1
-2.513301520,0,0
-2.511302600,0,1
-2.509304480,0,0
-2.507305560,0,1
-2.505307440,0,0
-2.503308520,0,1
-2.501310480,0,0
-2.499311520,0,1
-2.497313440,0,0
-2.495314480,0,1
-2.493316400,0,0
-2.491317440,0,1
-2.489319360,0,0
-2.487320400,0,1
-2.485322320,0,0
-2.483323360,0,1
-2.481325200,0,0
-2.479326280,0,1
-2.477328160,0,0
-2.475329240,0,1
-2.473331200,0,0
-2.471332240,0,1
-2.469334160,0,0
-2.467335200,0,1
-2.465333760,0,0
-2.463338160,0,1
-2.461340080,0,0
-2.459341120,0,1
-2.457343040,0,0
-2.455344080,0,1
-2.453346000,0,0
-2.451347040,0,1
-2.449348880,0,0
-2.447349960,0,1
-2.445351840,0,0
-2.443352920,0,1
-2.441354800,0,0
-2.439355880,0,1
-2.437357840,0,0
-2.435358880,0,1
-2.433360800,0,0
-2.431361840,0,1
-2.429363760,0,0
-2.427364800,0,1
-2.425366720,0,0
-2.423367760,0,1
-2.421369680,0,0
-2.419370720,0,1
-2.417372560,0,0
-2.415373640,0,1
-2.413375520,0,0
-2.411376600,0,1
-2.409378480,0,0
-2.407379560,0,1
-2.405381440,0,0
-2.403382520,0,1
-2.401384480,0,0
-2.399385520,0,1
-2.397387440,0,0
-2.395388480,0,1
-2.393390400,0,0
-2.391391440,0,1
-2.389393280,0,0
-2.387394360,0,1
-2.385396240,0,0
-2.383397320,0,1
-2.381399200,0,0
-2.379400280,0,1
-2.377402160,0,0
-2.375403240,0,1
-2.373405120,0,0
-2.371406200,0,1
-2.369408160,0,0
-2.367409200,0,1
-2.365411120,0,0
-2.363412160,0,1
-2.361414080,0,0
-2.359415120,0,1
-2.357417040,0,0
-2.355418080,0,1
-2.353419960,0,0
-2.351421000,0,1
-2.349422920,0,0
-2.347423960,0,1
-2.345425880,0,0
-2.343426920,0,1
-2.341428880,0,0
-2.339429920,0,1
-2.337428600,0,0
-2.335432880,0,1
-2.333434800,0,0
-2.331435840,0,1
-2.329437760,0,0
-2.327438800,0,1
-2.325440720,0,0
-2.323441760,0,1
-2.321443680,0,0
-2.319444720,0,1
-2.317446600,0,0
-2.315447640,0,1
-2.313449560,0,0
-2.311450600,0,1
-2.309452560,0,0
-2.307453600,0,1
-2.305455520,0,0
-2.303456560,0,1
-2.301458480,0,0
-2.299459520,0,1
-2.297461440,0,0
-2.295462480,0,1
-2.293464400,0,0
-2.291465440,0,1
-2.289467360,0,0
-2.287468400,0,1
-2.285470280,0,0
-2.283471320,0,1
-2.281473240,0,0
-2.279474280,0,1
-2.277476200,0,0
-2.275477240,0,1
-2.273479160,0,0
-2.271480200,0,1
-2.269482160,0,0
-2.267483200,0,1
-2.265485120,0,0
-2.263486160,0,1
-2.261488080,0,0
-2.259489120,0,1
-2.257491000,0,0
-2.255492040,0,1
-2.253493960,0,0
-2.251495000,0,1
-2.249496920,0,0
-2.247497960,0,1
-2.245499880,0,0
-2.243500920,0,1
-2.241502840,0,0
-2.239503880,0,1
-2.237505840,0,0
-2.235506880,0,1
-2.233508800,0,0
-2.231509840,0,1
-2.229511760,0,0
-2.227512800,0,1
-2.225514680,0,0
-2.223515720,0,1
-2.221517640,0,0
-2.219518680,0,1
-2.217520600,0,0
-2.215521640,0,1
-2.213523560,0,0
-2.211524600,0,1
-2.209523240,0,0
-2.207527560,0,1
-2.205529520,0,0
-2.203530560,0,1
-2.201532480,0,0
-2.199533560,0,1
-2.197535440,0,0
-2.195536480,0,1
-2.193538400,0,0
-2.191539440,0,1
-2.189541360,0,0
-2.187542440,0,1
-2.185544280,0,0
-2.183545320,0,1
-2.181547240,0,0
-2.179548280,0,1
-2.177550240,0,0
-2.175551280,0,1
-2.173553200,0,0
-2.171554240,0,1
-2.169556160,0,0
-2.167557200,0,1
-2.165559120,0,0
-2.163560160,0,1
-2.161562080,0,0
-2.159563120,0,1
-2.157565040,0,0
-2.155566120,0,1
-2.153567960,0,0
-2.151569000,0,1
-2.149570920,0,0
-2.147571960,0,1
-2.145573880,0,0
-2.143574920,0,1
-2.141576840,0,0
-2.139577920,0,1
-2.137579840,0,0
-2.135580920,0,1
-2.133582800,0,0
-2.131583880,0,1
-2.129585760,0,0
-2.127586840,0,1
-2.125588680,0,0
-2.123589800,0,1
-2.121591640,0,0
-2.119592680,0,1
-2.117594600,0,0
-2.115595640,0,1
-2.113597560,0,0
-2.111598600,0,1
-2.109600520,0,0
-2.107601560,0,1
-2.105603520,0,0
-2.103604600,0,1
-2.101606480,0,0
-2.099607560,0,1
-2.097609440,0,0
-2.095610520,0,1
-2.093612360,0,0
-2.091613400,0,1
-2.089615320,0,0
-2.087616360,0,1
-2.085618280,0,0
-2.083619320,0,1
-2.081617960,0,0
-2.079622280,0,1
-2.077624200,0,0
-2.075625240,0,1
-2.073627200,0,0
-2.071628280,0,1
-2.069630160,0,0
-2.067631240,0,1
-2.065633120,0,0
-2.063634200,0,1
-2.061636080,0,0
-2.059637160,0,1
-2.057639040,0,0
-2.055640120,0,1
-2.053641960,0,0
-2.051643000,0,1
-2.049644920,0,0
-2.047645960,0,1
-2.045647920,0,0
-2.043649000,0,1
-2.041650880,0,0
-2.039651960,0,1
-2.037653840,0,0
-2.035654920,0,1
-2.033656800,0,0
-2.031657880,0,1
-2.029659760,0,0
-2.027660840,0,1
-2.025662720,0,0
-2.023663800,0,1
-2.021665640,0,0
-2.019666680,0,1
-2.017668600,0,0
-2.015669640,0,1
-2.013671560,0,0
-2.011672680,0,1
-2.009674560,0,0
-2.007675640,0,1
-2.005677520,0,0
-2.003678600,0,1
-2.001680480,0,0
-1.999681560,0,1
-1.997683440,0,0
-1.995684520,0,1
-1.993686400,0,0
-1.991687480,0,1
-1.989689320,0,0
-1.987690360,0,1
-1.985692280,0,0
-1.983693320,0,1
-1.981695240,0,0
-1.979696280,0,1
-1.977698200,0,0
-1.975699240,0,1
-1.973701200,0,0
-1.971702280,0,1
-1.969704160,0,0
-1.967705240,0,1
-1.965707120,0,0
-1.963708200,0,1
-1.961710040,0,0
-1.959711080,0,1
-1.957713000,0,0
-1.955714040,0,1
-1.953712720,0,0
-1.951717000,0,1
-1.949718920,0,0
-1.947719960,0,1
-1.945721880,0,0
-1.943722920,0,1
-1.941724880,0,0
-1.939725960,0,1
-1.937727840,0,0
-1.935728920,0,1
-1.933730800,0,0
-1.931731880,0,1
-1.929733760,0,0
-1.927734840,0,1
-1.925736680,0,0
-1.923737720,0,1
-1.921739640,0,0
-1.919740680,0,1
-1.917742600,0,0
-1.915743640,0,1
-1.913745600,0,0
-1.911746680,0,1
-1.909748560,0,0
-1.907749640,0,1
-1.905751520,0,0
-1.903752600,0,1
-1.901754480,0,0
-1.899755560,0,1
-1.897757440,0,0
-1.895758520,0,1
-1.893760400,0,0
-1.891761480,0,1
-1.889763320,0,0
-1.887764360,0,1
-1.885766280,0,0
-1.883767320,0,1
-1.881769280,0,0
-1.879770360,0,1
-1.877772240,0,0
-1.875773320,0,1
-1.873775200,0,0
-1.871776280,0,1
-1.869778160,0,0
-1.867779240,0,1
-1.865781120,0,0
-1.863782200,0,1
-1.861784080,0,0
-1.859785160,0,1
-1.857787000,0,0
-1.855788040,0,1
-1.853789960,0,0
-1.851791000,0,1
-1.849792920,0,0
-1.847793960,0,1
-1.845795880,0,0
-1.843796920,0,1
-1.841798880,0,0
-1.839799960,0,1
-1.837801840,0,0
-1.835802920,0,1
-1.833804800,0,0
-1.831805880,0,1
-1.829807720,0,0
-1.827808760,0,1
-1.825807440,0,0
-1.823811720,0,1
-1.821813640,0,0
-1.819814680,0,1
-1.817816600,0,0
-1.815817640,0,1
-1.813819560,0,0
-1.811820600,0,1
-1.809822560,0,0
-1.807823640,0,1
-1.805825520,0,0
-1.803826600,0,1
-1.801828480,0,0
-1.799829560,0,1
-1.797831400,0,0
-1.795832440,0,1
-1.793834360,0,0
-1.791835400,0,1
-1.789837320,0,0
-1.787838360,0,1
-1.785840280,0,0
-1.783841320,0,1
-1.781843240,0,0
-1.779844280,0,1
-1.777846240,0,0
-1.775847320,0,1
-1.773849200,0,0
-1.771850280,0,1
